trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount,logprice
550,Used,f,59478,2011,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,22,4.6811598
550,CPO,t,19827,2012,White,4.6,Gasoline,WSC,unsp,unsp,unsp,76,4.81278639
550,New,f,9,2013,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,4,5.01742987
550,Used,t,14186,2013,Black,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,68,4.831869774
550,New,f,210,2013,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,21,5.011802964
550,Used,t,34842,2012,Black,4.6,Gasoline,ESC,unsp,unsp,20,41,4.672051654
550,CPO,t,25004,2013,White,4.6,Gasoline,WSC,Premium,Alloy,unsp,69,4.812759656
550,Used,f,9720,2013,White,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,4.825419626
550,Used,t,21171,2013,Silver,4.6,Gasoline,Pac,Premium,unsp,unsp,51,4.755020666
550,CPO,t,38019,2012,Black,4.6,Gasoline,Mtn,unsp,Alloy,unsp,76,4.785322715
550,CPO,f,30047,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,66,4.778086101
550,Used,f,20464,2013,Gray,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,4.724267675
550,CPO,t,9613,2012,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,50,4.917972637
550,New,f,6084,2013,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,2,5.026921219
550,CPO,f,23192,2012,White,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,81,4.825997012
550,Used,t,15200,2012,Silver,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,66,4.748149249
550,Used,f,9018,2013,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,4,4.885898101
550,CPO,t,26118,2013,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,84,4.787460475
550,Used,t,18749,2012,Silver,4.6,Gasoline,SoA,Harman Kardon,unsp,unsp,77,4.798650645
550,Used,t,6983,2013,Silver,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,52,4.879669206
550,Used,f,35939,2012,White,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,74,4.724177528
550,Used,f,15132,2013,White,4.6,Gasoline,ESC,Harman Kardon,unsp,unsp,51,4.819478128
63,Used,f,53500,2011,Black,5.5,Gasoline,WSC,Premium,Alloy,unsp,78,4.806179974
63,Used,f,28286,2010,Black,6.3,Gasoline,SoA,unsp,Alloy,unsp,81,4.778049903
63,CPO,t,45045,2010,Black,6.3,Gasoline,Pac,Premium,Alloy,unsp,78,4.844402612
63,CPO,t,39089,2010,Black,6.3,Gasoline,Pac,unsp,unsp,unsp,9,4.844458536
63,Used,f,38512,2010,White,6.3,Gasoline,Pac,unsp,unsp,unsp,9,4.862727528
63,CPO,f,28510,2010,Black,6.3,Gasoline,Pac,unsp,Alloy,unsp,79,4.825880299
550,Used,f,107000,2007,White,5.5,Gasoline,SoA,Premium,Alloy,unsp,45,4.340444115
550,Used,f,96772,2007,Silver,5.5,Gasoline,Mid,unsp,unsp,unsp,8,4.321184027
550,Used,f,62720,2007,Gray,5.5,Gasoline,ENC,unsp,unsp,unsp,21,4.380193146
550,Used,f,65875,2008,Gray,5.5,Gasoline,ENC,Harman Kardon,Alloy,19,37,4.491291641
550,Used,f,48248,2007,Black,5.5,Gasoline,Mtn,unsp,unsp,unsp,26,4.451602243
550,Used,t,65966,2008,White,5.5,Gasoline,Mid,Premium,Alloy,unsp,63,4.477077823
550,Used,f,80040,2007,Beige,5.5,Gasoline,WSC,unsp,unsp,unsp,6,4.414137362
550,Used,f,74912,2007,White,5.5,Gasoline,ENC,Harman Kardon,Alloy,unsp,68,4.414722721
550,Used,f,95293,2007,White,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,104,4.462098381
550,Used,f,39790,2008,Gray,5.5,Gasoline,Pac,Premium,Alloy,unsp,44,4.517195898
550,Used,f,82461,2008,Black,5.5,Gasoline,ENC,unsp,Alloy,unsp,80,4.38795902
550,Used,t,42459,2008,Silver,5.5,Gasoline,Mid,unsp,Alloy,unsp,49,4.511883361
550,Used,f,95454,2008,Silver,5.5,Gasoline,ENC,Harman Kardon,Alloy,unsp,61,4.364344586
550,Used,f,101971,2009,Black,5.5,Gasoline,Mid,unsp,Alloy,unsp,30,4.397505497
550,Used,f,59042,2008,White,5.5,Gasoline,Mid,Premium,Alloy,unsp,68,4.544005998
550,Used,f,108000,2008,Black,5.5,Gasoline,ESC,unsp,Alloy,19,40,4.414639147
550,Used,f,78798,2008,Black,5.5,Gasoline,New,unsp,unsp,unsp,6,4.475671188
550,Used,f,64459,2009,White,5.5,Gasoline,New,Harman Kardon,unsp,unsp,46,4.578375574
550,Used,f,83009,2007,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,6,4.443872919
550,Used,f,80020,2008,Gray,5.5,Gasoline,ESC,Premium,Alloy,unsp,53,4.42894429
550,Used,f,78341,2008,Black,5.5,Gasoline,ENC,Premium,Alloy,unsp,72,4.505027816
350,CPO,f,21929,2012,Black,3,Diesel,New,unsp,unsp,unsp,82,4.748141493
350,CPO,f,17770,2012,Silver,3,Diesel,ENC,Premium,Alloy,unsp,72,4.784617293
350,Used,f,29108,2012,Black,3,Diesel,SoA,unsp,unsp,unsp,5,4.740323206
350,CPO,f,35004,2013,White,3,Diesel,New,Harman Kardon,unsp,unsp,83,4.778064383
350,Used,t,66689,2012,Black,3,Diesel,Mid,Harman Kardon,Alloy,unsp,79,4.579726449
350,CPO,f,19567,2012,Black,3,Diesel,WSC,Premium,Alloy,unsp,76,4.777984739
550,CPO,t,11626,2010,White,5.5,Gasoline,SoA,unsp,unsp,unsp,43,4.696793085
550,Used,f,36031,2011,Black,5.5,Gasoline,SoA,Premium,Premium,unsp,52,4.672042413
550,Used,t,35309,2011,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,70,4.698100546
550,CPO,t,12974,2011,Black,5.5,Gasoline,Mid,unsp,Alloy,unsp,79,4.724202115
550,Used,f,58101,2010,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,38,4.579726449
550,Used,f,61053,2011,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,29,4.636437744
550,CPO,f,33893,2011,Silver,5.5,Gasoline,Mid,Harman Kardon,Alloy,unsp,80,4.73995189
550,Used,f,27128,2010,Black,5.5,Gasoline,ESC,unsp,unsp,unsp,42,4.680335513
550,Used,f,57363,2010,unsp,5.5,Gasoline,Mid,Harman Kardon,Alloy,unsp,75,4.542700969
550,Used,t,39315,2011,Gray,5.5,Gasoline,SoA,unsp,Alloy,unsp,30,4.633458356
550,Used,t,42571,2011,Silver,5.5,Gasoline,SoA,Premium,Alloy,18,74,4.579772168
550,Used,f,30948,2011,White,5.5,Gasoline,ENC,unsp,unsp,unsp,0,4.713145995
550,Used,f,38920,2011,Gray,5.5,Gasoline,ESC,Premium,unsp,unsp,36,4.715961583
550,Used,t,61005,2011,White,5.5,Gasoline,Mid,Harman Kardon,unsp,unsp,50,4.556302501
550,Used,t,8556,2011,Silver,5.5,Gasoline,WSC,Harman Kardon,Alloy,18,61,4.681195996
550,Used,f,65174,2010,Black,5.5,Gasoline,Mtn,unsp,Alloy,unsp,79,4.568084331
550,CPO,f,39919,2010,Black,5.5,Gasoline,Mid,Premium,Alloy,unsp,75,4.695420381
550,Used,f,47413,2010,Silver,5.5,Gasoline,Pac,unsp,unsp,unsp,9,4.550105999
550,Used,f,49725,2011,Silver,5.5,Gasoline,SoA,unsp,Alloy,unsp,60,4.612094795
550,Used,f,75134,2010,White,5.5,Gasoline,WSC,unsp,Alloy,unsp,65,4.477048866
550,Used,f,29150,2011,Silver,5.5,Gasoline,ESC,unsp,Alloy,unsp,66,4.730782276
550,Used,t,30490,2011,White,5.5,Gasoline,Mid,unsp,Alloy,unsp,22,4.633417953
550,Used,f,21845,2012,Black,4.6,Gasoline,WNC,Premium,Alloy,unsp,51,4.863263364
550,Used,t,29301,2013,Gray,4.6,Gasoline,Mid,Harman Kardon,Alloy,unsp,73,4.707527596
550,Used,t,49079,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,18,71,4.62323895
550,Used,f,35667,2012,Black,4.6,Gasoline,ENC,Premium,Alloy,unsp,74,4.762678564
550,Used,t,31921,2012,unsp,4.6,Gasoline,WNC,Premium,Alloy,unsp,96,4.805555227
550,CPO,t,26430,2012,Blue,4.6,Gasoline,ENC,unsp,unsp,19,58,4.831869774
550,CPO,t,14712,2013,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,81,4.797364502
550,CPO,t,13727,2013,Silver,4.6,Gasoline,ENC,unsp,unsp,unsp,92,4.841984805
550,Used,t,21804,2012,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,10,4.803279538
550,CPO,f,9855,2012,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,72,4.826016461
550,CPO,f,32245,2013,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,4.770483809
550,CPO,f,29697,2013,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,71,4.809559715
550,Used,f,26137,2012,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,83,4.690151762
550,CPO,f,12738,2012,Silver,4.6,Gasoline,New,unsp,Alloy,unsp,20,4.812879948
550,Used,t,28966,2012,White,4.6,Gasoline,New,unsp,Alloy,unsp,42,4.832476978
550,CPO,t,29624,2012,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,1,4.798616121
550,CPO,f,20837,2013,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,20,4.892011076
550,Used,f,48460,2012,Black,4.6,Gasoline,SoA,Bang Olufsen,Alloy,unsp,44,4.698100546
550,CPO,f,26724,2012,Black,4.6,Gasoline,New,unsp,unsp,unsp,11,4.785315596
550,CPO,f,21877,2013,Black,4.6,Gasoline,New,unsp,unsp,unsp,3,4.79237768
550,Used,f,27464,2012,Silver,4.6,Gasoline,ENC,Premium,Alloy,unsp,71,4.755112266
550,CPO,f,16734,2012,Silver,4.6,Gasoline,ENC,Premium,Alloy,unsp,72,4.818885415
550,Used,f,47916,2013,Blue,4.6,Gasoline,Mid,unsp,Alloy,unsp,22,4.672051654
550,CPO,t,12566,2013,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,79,4.832451429
550,CPO,f,12707,2013,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,8,4.812879948
550,Used,t,27366,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,18,71,4.698961318
550,CPO,f,17699,2012,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,74,4.710963119
550,Used,f,20397,2012,Black,4.6,Gasoline,Mid,unsp,Alloy,unsp,48,4.806146043
550,Used,f,21873,2013,Blue,4.6,Gasoline,SoA,Harman Kardon,Alloy,19,75,4.70756166
550,CPO,f,10835,2012,Black,4.6,Gasoline,New,unsp,unsp,unsp,13,4.832496139
550,CPO,t,15730,2013,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,77,4.854123782
550,Used,t,21790,2013,Gray,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,61,4.724234896
550,CPO,t,42282,2012,Silver,4.6,Gasoline,Mid,unsp,unsp,unsp,59,4.778086101
550,CPO,f,17513,2012,White,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,77,4.778006461
550,CPO,f,27592,2013,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,6,4.744167763
550,CPO,f,11253,2013,Silver,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,79,4.83877985
550,Used,f,12488,2013,White,4.6,Gasoline,ESC,Harman Kardon,unsp,unsp,53,4.811575006
400,Used,f,62010,2010,unsp,3.5,Hybrid,ENC,Harman Kardon,Alloy,unsp,71,4.531287274
400,Used,f,40428,2010,Black,3.5,Hybrid,SoA,Harman Kardon,Alloy,unsp,77,4.612730891
600,New,f,10,2015,Green,6,Gasoline,Mid,Premium,Alloy,unsp,61,5.278284767
unsp,New,f,7,2015,unsp,unsp,unsp,Pac,Premium,Alloy,unsp,73,5.231991755
63,New,f,10,2015,Silver,5.5,Gasoline,Mid,Premium,Alloy,unsp,59,5.230461695
63,New,f,12,2015,Black,5.5,Gasoline,New,Premium,Alloy,unsp,76,5.205136669
63,New,f,22,2014,Black,5.5,Gasoline,Mid,unsp,unsp,unsp,4,5.245475653
63,New,f,1,2015,Black,5.5,Gasoline,Pac,unsp,Alloy,20,87,5.196604463
63,New,f,13,2015,unsp,5.5,Gasoline,SoA,unsp,unsp,unsp,0,5.191381142
63,New,f,13,2015,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,0,5.200070365
63,New,f,1,2015,Black,5.5,Gasoline,Pac,Premium,Alloy,unsp,78,5.200070365
63,New,f,30,2014,White,5.5,Gasoline,Mid,Premium,unsp,unsp,82,5.186164962
63,New,f,14,2015,White,5.5,Gasoline,Mid,Premium,Alloy,20,77,5.212214247
550,New,f,7,2014,White,4.6,Gasoline,Pac,unsp,unsp,unsp,55,5.08357428
550,Used,f,12675,2014,White,4.6,Gasoline,SoA,unsp,Steel,18,71,5.060320029
550,CPO,t,3795,2014,unsp,4.6,Gasoline,Pac,unsp,Alloy,unsp,25,4.95420873
550,New,f,5,2015,White,4.6,Gasoline,Pac,unsp,unsp,unsp,1,5.043047743
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0,5.045420782
550,New,f,10,2015,unsp,4.6,Gasoline,WSC,unsp,unsp,18,85,5.061452479
550,New,f,5,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,69,5.044010288
550,New,f,17,2014,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,0,5.063333359
550,New,f,1,2015,White,4.6,Gasoline,Pac,unsp,unsp,unsp,0,5.000694316
550,New,f,1,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,68,5.047878176
550,New,f,159,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,60,5.059582349
550,New,f,16,2015,Black,4.6,Gasoline,Pac,unsp,unsp,18,87,5.058122216
550,New,f,5,2015,White,4.6,Gasoline,SoA,unsp,unsp,unsp,0,5.023746163
550,New,f,11,2015,White,4.6,Gasoline,Pac,unsp,unsp,unsp,76,5.121953584
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,19,18,5.066493646
550,New,f,5,2015,Gray,4.6,Gasoline,Pac,unsp,unsp,unsp,1,5.121773164
550,New,f,11,2015,Silver,4.6,Gasoline,WSC,unsp,unsp,unsp,2,5.113358331
550,New,f,713,2014,Silver,4.6,Gasoline,ESC,Premium,Alloy,unsp,84,5.010130277
550,New,f,12,2014,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,0,5.041491377
550,New,f,4,2014,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0,5.027390385
550,Used,t,14305,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,58,4.954199078
